Timestamp,Temperature,Humidity,Air Quality (PPM),AQI
4157,22.00,50.00,27.62,27
19917,22.00,50.00,26.60,26
35677,22.00,50.00,26.45,26
51437,22.00,50.00,27.18,27
67197,22.00,50.00,27.48,27
82958,22.00,50.00,27.62,27
98718,22.00,50.00,28.37,28
114479,22.00,50.00,27.92,27
130239,22.00,50.00,27.33,27
145999,22.00,50.00,27.03,27
161759,22.00,50.00,26.74,26
177519,22.00,50.00,26.45,26
193280,22.00,50.00,26.30,26
209040,22.00,50.00,26.30,26
224800,22.00,50.00,26.02,26
240561,22.00,50.00,25.87,25
256321,22.00,50.00,26.02,26
272081,22.00,50.00,25.87,25
